[2025-10-21 16:12:11.203] /dtu_serial_rx -> $GPCHC,2389,202349.80,175.37,0.40,-2.89,0.60,0.09,0.24,0.0504,0.0070,0.9988,31.46371944,120.64741328,15.85,-0.004,-0.001,-0.011,0.004,20,22,11,0,2*5A

[2025-10-21 16:12:11.415] /dtu_serial_rx -> $GPCHC,2389,202350.00,175.40,0.44,-2.96,0.60,0.09,0.23,0.0517,0.0076,0.9986,31.46371963,120.64741295,15.72,-0.008,0.005,-0.019,0.009,20,22,11,0,2*77

[2025-10-21 16:12:11.606] /dtu_serial_rx -> $GPCHC,2389,202350.20,175.34,0.53,-3.00,0.59,0.11,0.24,0.0522,0.0093,0.9983,31.46371981,120.64741264,15.61,-0.002,0.002,-0.009,0.002,20,22,11,0,2*75

[2025-10-21 16:12:11.797] /dtu_serial_rx -> $GPCHC,2389,202350.40,175.61,0.52,-2.94,0.62,0.06,0.26,0.0514,0.0090,0.9986,31.46372000,120.64741234,15.49,0.005,0.001,-0.015,0.005,20,22,11,0,2*5E

[2025-10-21 16:12:12.002] /dtu_serial_rx -> $GPCHC,2389,202350.60,175.35,0.43,-2.91,0.63,0.08,0.21,0.0508,0.0075,0.9985,31.46372019,120.64741204,15.37,0.000,0.006,-0.018,0.006,20,22,11,0,2*5B

[2025-10-21 16:12:12.207] /dtu_serial_rx -> $GPCHC,2389,202350.80,175.33,0.41,-2.93,0.59,0.08,0.19,0.0512,0.0072,0.9986,31.46372038,120.64741176,15.26,0.000,0.001,-0.005,0.001,20,22,11,0,2*57

[2025-10-21 16:12:12.402] /dtu_serial_rx -> $GPCHC,2389,202351.00,175.31,0.51,-2.99,0.61,0.11,0.26,0.0521,0.0089,0.9981,31.46372057,120.64741146,15.15,-0.001,0.002,-0.022,0.002,20,22,11,0,2*78

[2025-10-21 16:12:12.607] /dtu_serial_rx -> $GPCHC,2389,202351.20,175.34,0.53,-2.98,0.62,0.07,0.22,0.0520,0.0092,0.9981,31.46372076,120.64741117,15.04,-0.007,-0.002,-0.028,0.008,20,22,11,0,2*5B

[2025-10-21 16:12:12.807] /dtu_serial_rx -> $GPCHC,2389,202351.40,175.49,0.46,-2.91,0.58,0.05,0.21,0.0507,0.0080,0.9981,31.46372094,120.64741089,14.93,-0.003,-0.002,-0.017,0.004,20,22,11,0,2*55

[2025-10-21 16:12:13.006] /dtu_serial_rx -> $GPCHC,2389,202351.60,175.33,0.41,-2.91,0.59,0.05,0.24,0.0507,0.0072,0.9984,31.46372111,120.64741063,14.83,-0.005,-0.007,-0.012,0.009,20,22,11,0,2*53

[2025-10-21 16:12:13.217] /dtu_serial_rx -> $GPCHC,2389,202351.80,175.39,0.47,-2.98,0.61,0.09,0.25,0.0520,0.0082,0.9983,31.46372129,120.64741035,14.72,-0.005,0.003,-0.019,0.006,20,22,11,0,2*78

[2025-10-21 16:12:13.398] /dtu_serial_rx -> $GPCHC,2389,202352.00,175.39,0.55,-2.97,0.62,0.08,0.24,0.0518,0.0096,0.9982,31.46372151,120.64741007,14.61,0.002,0.001,-0.022,0.002,20,22,11,0,2*5B

[2025-10-21 16:12:13.603] /dtu_serial_rx -> $GPCHC,2389,202352.20,175.34,0.50,-2.92,0.59,0.08,0.21,0.0509,0.0086,0.9983,31.46372173,120.64740979,14.49,-0.000,0.003,-0.005,0.003,20,22,11,0,2*7B

