[2025-11-16 14:41:52.437] /dtu_serial_rx -> $GPCHC,2393,24130.20,187.99,-9.43,-0.46,0.72,-0.10,-2.10,0.0085,-0.1760,1.0599,31.46364853,120.64745777,4.13,-0.081,-0.695,0.001,0.700,28,34,11,0,2*72

[2025-11-16 14:41:52.637] /dtu_serial_rx -> $GPCHC,2393,24130.40,187.97,-3.72,-3.46,1.77,-0.68,-0.19,0.0607,-0.0655,1.0044,31.46364730,120.64745768,4.25,-0.081,-0.428,0.009,0.436,28,34,11,0,2*75

[2025-11-16 14:41:53.007] /dtu_serial_rx -> $GPCHC,2393,24130.60,187.87,2.14,-1.66,0.85,0.43,0.05,0.0292,0.0375,1.0032,31.46364683,120.64745768,4.36,0.007,0.085,-0.008,0.085,28,34,11,0,2*57

[2025-11-16 14:41:54.014] /dtu_serial_rx -> $GPCHC,2393,24130.80,187.88,1.44,-1.58,0.55,0.07,0.27,0.0275,0.0251,0.9977,31.46364692,120.64745784,4.47,0.037,0.223,-0.012,0.226,28,34,11,0,2*57

[2025-11-16 14:41:55.011] /dtu_serial_rx -> $GPCHC,2393,24131.00,187.95,0.65,-1.23,0.67,0.13,0.02,0.0215,0.0114,0.9993,31.46364689,120.64745795,4.57,-0.013,-0.020,0.004,0.024,28,34,11,0,2*77

[2025-11-16 14:41:56.016] /dtu_serial_rx -> $GPCHC,2393,24131.20,187.97,0.94,-1.63,0.60,0.07,0.18,0.0284,0.0164,0.9969,31.46364654,120.64745797,4.67,-0.021,-0.111,0.007,0.113,28,34,11,0,2*7B

[2025-11-16 14:41:57.010] /dtu_serial_rx -> $GPCHC,2393,24131.40,187.95,1.03,-1.48,0.59,0.07,0.25,0.0258,0.0180,0.9994,31.46364630,120.64745798,4.77,0.001,0.015,0.002,0.015,28,34,11,0,2*7D

[2025-11-16 14:41:58.003] /dtu_serial_rx -> $GPCHC,2393,24131.60,187.91,0.86,-1.49,0.59,0.08,0.22,0.0261,0.0151,1.0000,31.46364623,120.64745804,4.86,0.006,0.040,0.007,0.040,28,34,11,0,2*70

[2025-11-16 14:41:59.012] /dtu_serial_rx -> $GPCHC,2393,24131.80,187.95,0.74,-1.53,0.56,0.08,0.26,0.0267,0.0129,0.9993,31.46364614,120.64745810,4.94,0.003,-0.004,0.004,0.005,28,34,11,0,2*5D

[2025-11-16 14:42:00.017] /dtu_serial_rx -> $GPCHC,2393,24132.00,187.98,0.81,-1.52,0.58,0.09,0.20,0.0265,0.0141,0.9994,31.46364600,120.64745815,5.02,0.001,-0.024,0.007,0.024,28,34,11,0,2*5C

[2025-11-16 14:42:01.013] /dtu_serial_rx -> $GPCHC,2393,24132.20,187.97,0.94,-1.49,0.58,0.08,0.22,0.0260,0.0164,0.9992,31.46364591,120.64745819,5.10,0.002,-0.003,0.006,0.003,28,34,11,0,2*5E

[2025-11-16 14:42:02.006] /dtu_serial_rx -> $GPCHC,2393,24132.40,187.86,0.95,-1.52,0.63,0.04,0.19,0.0265,0.0165,0.9997,31.46364585,120.64745821,5.16,-0.006,0.003,-0.005,0.007,28,34,11,0,2*78

[2025-11-16 14:42:03.018] /dtu_serial_rx -> $GPCHC,2393,24132.60,187.92,0.88,-1.53,0.66,0.06,0.20,0.0267,0.0154,0.9994,31.46364580,120.64745822,5.23,-0.004,0.002,-0.010,0.005,28,34,11,0,2*79

[2025-11-16 14:42:04.009] /dtu_serial_rx -> $GPCHC,2393,24132.80,187.98,0.83,-1.56,0.58,0.09,0.25,0.0273,0.0145,0.9991,31.46364576,120.64745823,5.28,-0.003,0.001,-0.011,0.003,28,34,11,0,2*74

[2025-11-16 14:42:05.006] /dtu_serial_rx -> $GPCHC,2393,24133.00,187.99,0.87,-1.53,0.62,0.10,0.21,0.0267,0.0152,0.9992,31.46364572,120.64745825,5.34,0.001,-0.005,-0.008,0.005,28,34,11,0,2*7F

[2025-11-16 14:42:06.006] /dtu_serial_rx -> $GPCHC,2393,24133.20,187.97,0.94,-1.50,0.55,0.10,0.19,0.0262,0.0163,0.9991,31.46364567,120.64745827,5.40,0.001,-0.005,0.000,0.005,28,34,11,0,2*59

[2025-11-16 14:42:07.015] /dtu_serial_rx -> $GPCHC,2393,24133.40,187.92,1.00,-1.50,0.61,0.04,0.20,0.0262,0.0174,0.9992,31.46364564,120.64745827,5.45,0.001,-0.004,0.002,0.005,28,34,11,0,2*5E

[2025-11-16 14:42:08.013] /dtu_serial_rx -> $GPCHC,2393,24133.60,187.98,0.95,-1.50,0.62,0.08,0.22,0.0262,0.0166,0.9999,31.46364562,120.64745828,5.50,0.003,-0.001,-0.000,0.003,28,34,11,0,2*7D

[2025-11-16 14:42:09.011] /dtu_serial_rx -> $GPCHC,2393,24133.80,187.97,0.77,-1.51,0.63,0.04,0.26,0.0263,0.0135,0.9998,31.46364560,120.64745828,5.55,0.001,0.002,-0.003,0.002,28,34,11,0,2*57

[2025-11-16 14:42:10.012] /dtu_serial_rx -> $GPCHC,2393,24134.00,187.95,0.72,-1.52,0.56,0.06,0.25,0.0266,0.0127,0.9999,31.46364560,120.64745826,5.59,-0.003,0.002,-0.006,0.004,28,34,11,0,2*72

[2025-11-16 14:42:11.012] /dtu_serial_rx -> $GPCHC,2393,24134.20,187.98,0.77,-1.48,0.57,0.07,0.29,0.0259,0.0135,0.9992,31.46364559,120.64745825,5.64,-0.001,-0.000,-0.007,0.001,28,34,11,0,2*55

[2025-11-16 14:42:12.017] /dtu_serial_rx -> $GPCHC,2393,24134.40,187.96,0.91,-1.49,0.61,0.07,0.24,0.0261,0.0158,0.9990,31.46364558,120.64745822,5.68,-0.006,-0.002,-0.001,0.006,28,34,11,0,2*50

[2025-11-16 14:42:13.008] /dtu_serial_rx -> $GPCHC,2393,24134.60,187.97,0.98,-1.48,0.62,0.03,0.15,0.0258,0.0171,0.9994,31.46364558,120.64745820,5.72,-0.005,0.000,-0.002,0.005,28,34,11,0,2*7E

[2025-11-16 14:42:14.004] /dtu_serial_rx -> $GPCHC,2393,24134.80,187.96,0.90,-1.51,0.57,0.06,0.22,0.0264,0.0157,0.9996,31.46364558,120.64745815,5.76,-0.004,0.000,-0.006,0.004,28,34,11,0,2*79

[2025-11-16 14:42:15.014] /dtu_serial_rx -> $GPCHC,2393,24135.00,188.05,0.82,-1.53,0.62,0.10,0.24,0.0266,0.0143,0.9998,31.46364558,120.64745811,5.81,-0.001,-0.000,-0.005,0.001,28,34,11,0,2*58

[2025-11-16 14:42:16.005] /dtu_serial_rx -> $GPCHC,2393,24135.20,187.95,0.81,-1.53,0.60,0.10,0.18,0.0267,0.0142,0.9995,31.46364559,120.64745806,5.85,-0.005,0.002,-0.004,0.005,28,34,11,0,2*72

[2025-11-16 14:42:17.016] /dtu_serial_rx -> $GPCHC,2393,24135.40,188.01,0.90,-1.51,0.58,0.09,0.21,0.0263,0.0158,0.9995,31.46364559,120.64745802,5.89,-0.002,-0.003,-0.001,0.003,28,34,11,0,2*52

[2025-11-16 14:42:18.011] /dtu_serial_rx -> $GPCHC,2393,24135.60,187.88,0.99,-1.51,0.61,0.06,0.23,0.0263,0.0173,0.9994,31.46364560,120.64745797,5.93,-0.001,0.002,0.002,0.002,28,34,11,0,2*5A

[2025-11-16 14:42:19.005] /dtu_serial_rx -> $GPCHC,2393,24135.80,188.01,0.95,-1.50,0.62,0.05,0.23,0.0262,0.0165,0.9997,31.46364561,120.64745792,5.96,0.003,0.002,-0.003,0.004,28,34,11,0,2*56

[2025-11-16 14:42:20.015] /dtu_serial_rx -> $GPCHC,2393,24136.00,187.97,0.83,-1.54,0.58,0.10,0.18,0.0268,0.0145,0.9998,31.46364562,120.64745788,6.00,-0.000,-0.001,0.003,0.001,28,34,11,0,2*70

[2025-11-16 14:42:21.010] /dtu_serial_rx -> $GPCHC,2393,24136.20,187.97,0.74,-1.52,0.60,0.10,0.21,0.0266,0.0130,0.9996,31.46364562,120.64745783,6.04,-0.003,0.000,0.002,0.003,28,34,11,0,2*5C

[2025-11-16 14:42:22.019] /dtu_serial_rx -> $GPCHC,2393,24136.40,187.94,0.79,-1.51,0.58,0.10,0.25,0.0263,0.0137,0.9994,31.46364563,120.64745776,6.07,-0.004,-0.001,-0.006,0.004,28,34,11,0,2*55

[2025-11-16 14:42:23.009] /dtu_serial_rx -> $GPCHC,2393,24136.60,188.03,0.91,-1.52,0.59,0.09,0.25,0.0265,0.0158,0.9992,31.46364564,120.64745770,6.11,-0.001,-0.001,-0.001,0.001,28,34,11,0,2*52

[2025-11-16 14:42:24.010] /dtu_serial_rx -> $GPCHC,2393,24136.80,187.91,0.98,-1.51,0.58,0.03,0.19,0.0263,0.0170,0.9992,31.46364565,120.64745764,6.14,-0.005,-0.002,-0.003,0.006,28,34,11,0,2*59

[2025-11-16 14:42:25.005] /dtu_serial_rx -> $GPCHC,2393,24137.00,187.90,0.96,-1.53,0.61,0.05,0.22,0.0266,0.0167,0.9999,31.46364566,120.64745757,6.18,-0.005,-0.001,-0.008,0.006,28,34,11,0,2*56

[2025-11-16 14:42:26.014] /dtu_serial_rx -> $GPCHC,2393,24137.20,187.94,0.81,-1.52,0.60,0.06,0.24,0.0266,0.0141,0.9999,31.46364567,120.64745751,6.21,0.000,-0.004,-0.004,0.004,28,34,11,0,2*79

[2025-11-16 14:42:27.003] /dtu_serial_rx -> $GPCHC,2393,24137.40,187.91,0.78,-1.54,0.59,0.08,0.22,0.0269,0.0136,0.9996,31.46364567,120.64745744,6.25,0.000,-0.002,-0.004,0.002,28,34,11,0,2*78

[2025-11-16 14:42:28.016] /dtu_serial_rx -> $GPCHC,2393,24137.60,187.87,0.82,-1.51,0.60,0.08,0.22,0.0263,0.0144,0.9995,31.46364569,120.64745737,6.28,-0.003,-0.000,-0.004,0.003,28,34,11,0,2*51

[2025-11-16 14:42:29.015] /dtu_serial_rx -> $GPCHC,2393,24137.80,187.88,0.96,-1.52,0.59,0.07,0.21,0.0266,0.0167,0.9992,31.46364571,120.64745729,6.31,-0.005,0.004,-0.012,0.007,28,34,11,0,2*71

[2025-11-16 14:42:30.017] /dtu_serial_rx -> $GPCHC,2393,24138.00,187.97,0.97,-1.50,0.61,0.06,0.22,0.0262,0.0169,0.9995,31.46364573,120.64745721,6.34,-0.005,0.002,-0.008,0.005,28,34,11,0,2*7F

[2025-11-16 14:42:31.011] /dtu_serial_rx -> $GPCHC,2393,24138.20,188.01,0.91,-1.52,0.59,0.07,0.26,0.0265,0.0158,0.9997,31.46364574,120.64745714,6.38,0.003,-0.002,0.000,0.003,28,34,11,0,2*58

